,index,PDE_DRUG_CD,TOTAL_52WEEK_DEMAND,TOTAL_COST,AVG_WEEKLY_DEMAND,STDDEVDEMAND,AVERAGE_LEAD_TIME,Order_Frequency,Max_Weekly_Demand,Demand_Category,COST_PER_UNIT,Fixed/Ordering Cost (10% of Total),Holding Cost (25% of total),ORDER_QTY_EOQ,SAFETY_STOCK,VOLATILITY_RATIO,NORM_VOLATILITY_RATIO,NORM_COST_PER_UNIT,REORDER_POINT,DEMAND_VOLATILITY,COST_CAT_TAG
0,0,3,182.0,300,3.4339622641509435,13.866338086737583,7.3090909090909095,2.0,60.0,Low,1.6483516483516483,30.0,75.0,12.0,62.0,4.037999552731274,3.6430464287103725,0.17169594332643337,66.0,High,Low
1,1,16,17513.0,55710,324.54716981132077,156.74698084108428,7.127272727272727,52.0,661.0,High,3.1810654942043053,5571.0,13927.5,118.0,690.0,0.48297133797903996,0.4231598619039448,0.07024683060309846,1020.0,Low,Low
2,2,32,121762.0,102310,2254.4716981132074,512.5709304770324,7.4,52.0,3530.0,High,0.8402457252673248,10231.0,25577.5,312.0,2301.0,0.22735744738157893,0.7155285147328323,0.22518383286642074,4684.0,Med,Med
3,3,36,102796.0,210470,1904.5849056603774,419.29911403441923,6.872727272727273,52.0,2595.0,High,2.0474532082960426,21047.0,52617.5,287.0,1814.0,0.22015249243458407,0.7237694713045667,0.14527972789756205,3684.0,Med,Low
4,4,37,287621.0,1257720,5316.433962264151,899.8960909423716,6.327272727272727,52.0,6870.0,High,4.372837866497926,125772.0,314430.0,480.0,3735.0,0.16926686145822564,0.7819719553015517,0.008635636639253723,8541.0,Med,Low
5,5,38,312543.0,1024610,5791.452830188679,909.8969410852123,7.1454545454545455,52.0,6741.0,High,3.2783009057953625,102461.0,256152.5,500.0,4013.0,0.15711030854680533,0.7958765009013532,0.06381089589950517,9925.0,Med,Low
6,6,39,51652.0,146970,954.188679245283,232.82666163387546,7.109090909090909,52.0,1500.0,High,2.8453883683110046,14697.0,36742.5,203.0,1024.0,0.24400484589487068,0.6964873841234573,0.09246503309114999,1993.0,Med,Low
7,7,40,136308.0,388770,2525.7735849056603,518.851149871782,7.127272727272727,52.0,3450.0,High,2.852143674619245,38877.0,97192.5,330.0,2286.0,0.20542266851332264,0.7406172989644799,0.09201790472925797,4858.0,Med,Low
8,8,55,15362.0,24080,287.0188679245283,178.5792716257057,6.181818181818182,52.0,710.0,High,1.5675042312198932,2408.0,6020.0,111.0,733.0,0.6221865235447279,0.2639269025290521,0.1770471696862547,986.0,Low,Low
9,9,56,1375.0,1950,25.37735849056604,39.265286874278125,7.2727272727272725,25.0,180.0,Med,1.4181818181818182,195.0,487.5,33.0,175.0,1.5472566574994353,0.7941592140134063,0.1869307016667418,201.0,Med,Low
10,10,78,216.0,240,3.509433962264151,10.16096860633217,7.2,6.0,30.0,Low,1.1111111111111112,24.0,60.0,13.0,45.0,2.8953297641699196,2.336071968405861,0.20725546800192177,49.0,High,Med
11,11,81,734.0,1550,13.849056603773585,25.942257010754087,6.236363636363636,14.0,90.0,Low,2.111716621253406,155.0,387.5,24.0,107.0,1.8732147432833333,1.166986865110814,0.14102618360895353,119.0,High,Low
12,12,82,2555.0,5890,48.20754716981132,46.07943267882966,6.4363636363636365,35.0,150.0,Med,2.305283757338552,589.0,1472.5,45.0,193.0,0.9558551592868775,0.11771999973891899,0.12821412853332992,237.0,Low,Low
13,13,134,41118.0,19790,751.8490566037735,415.4685314544662,6.0,52.0,1690.0,High,0.48129772848873975,1979.0,4947.5,181.0,1679.0,0.5525956677144828,0.34352423865480725,0.248942315824959,2323.0,Low,Med
14,14,147,27042.0,1102090,501.3018867924528,80.96998434469327,6.927272727272728,52.0,639.0,High,40.75475186746542,110209.0,275522.5,147.0,352.0,0.1615194087195131,0.7908334155092833,2.416725642847525,848.0,Med,High
15,15,155,7499.0,4220,140.9245283018868,186.39236828415804,7.709090909090909,39.0,680.0,Med,0.5627416988931857,422.0,1055.0,77.0,854.0,1.3226396464132248,0.5372444869607014,0.24355160407758764,1009.0,Low,Med
